kind,repository,stars,open_issues,license,status,pushed_at,url
revive,TransformerOptimus/SuperAGI,17690,264,MIT,abandoned,2025-01-22,https://github.com/TransformerOptimus/SuperAGI
revive,bytebot-ai/bytebot,11085,72,Apache-2.0,archived,2025-09-12,https://github.com/bytebot-ai/bytebot
revive,RayVentura/ShortGPT,7970,86,MIT,abandoned,2025-02-10,https://github.com/RayVentura/ShortGPT
revive,BrowserMCP/mcp,7127,150,Apache-2.0,abandoned,2025-04-24,https://github.com/BrowserMCP/mcp
revive,airweave-ai/airweave,6563,105,MIT,archived,2026-06-05,https://github.com/airweave-ai/airweave
revive,lharries/whatsapp-mcp,6310,248,MIT,abandoned,2025-07-13,https://github.com/lharries/whatsapp-mcp
revive,microsoft/TaskWeaver,6171,53,MIT,archived,2026-03-23,https://github.com/microsoft/TaskWeaver
revive,aiwaves-cn/agents,5967,50,Apache-2.0,abandoned,2024-09-26,https://github.com/aiwaves-cn/agents
revive,SolaceLabs/solace-agent-mesh,4925,99,Apache-2.0,archived,2026-09-13,https://github.com/SolaceLabs/solace-agent-mesh
revive,abhi1693/openclaw-mission-control,4106,85,MIT,archived,2026-08-06,https://github.com/abhi1693/openclaw-mission-control
revive,browserbase/mcp-server-browserbase,3413,52,Apache-2.0,archived,2026-07-20,https://github.com/browserbase/mcp-server-browserbase
revive,BAAI-Agents/Cradle,2587,23,MIT,abandoned,2024-11-07,https://github.com/BAAI-Agents/Cradle
revive,lmnr-ai/index,2444,6,Apache-2.0,archived,2025-06-09,https://github.com/lmnr-ai/index
revive,dot-agent/nextpy,2348,23,Apache-2.0,abandoned,2024-05-01,https://github.com/dot-agent/nextpy
revive,Mintplex-Labs/vector-admin,2242,43,MIT,archived,2025-04-15,https://github.com/Mintplex-Labs/vector-admin
revive,cjo4m06/mcp-shrimp-task-manager,2150,46,MIT,abandoned,2025-08-21,https://github.com/cjo4m06/mcp-shrimp-task-manager
revive,chatmcp/mcpso,2107,3207,Apache-2.0,abandoned,2025-03-26,https://github.com/chatmcp/mcpso
revive,SqueezeAILab/LLMCompiler,1886,7,MIT,abandoned,2024-07-10,https://github.com/SqueezeAILab/LLMCompiler
revive,zhu1090093659/deepseek-pp,1874,30,Apache-2.0,archived,2026-08-13,https://github.com/zhu1090093659/deepseek-pp
revive,jina-ai/langchain-serve,1638,15,Apache-2.0,archived,2023-09-20,https://github.com/jina-ai/langchain-serve
contribute,NousResearch/hermes-agent,248535,44180,MIT,active,2026-09-24,https://github.com/NousResearch/hermes-agent
contribute,stablyai/orca,76936,6690,MIT,active,2026-09-24,https://github.com/stablyai/orca
contribute,Osmantic/ODS,6782,3716,Apache-2.0,active,2026-09-24,https://github.com/Osmantic/ODS
contribute,can1357/oh-my-pi,33092,3139,MIT,active,2026-09-24,https://github.com/can1357/oh-my-pi
contribute,farion1231/cc-switch,136141,2877,MIT,active,2026-09-24,https://github.com/farion1231/cc-switch
contribute,agentuniverse-ai/agentUniverse,2366,2539,Apache-2.0,active,2026-09-14,https://github.com/agentuniverse-ai/agentUniverse
contribute,punkpeye/awesome-mcp-servers,95475,2292,MIT,active,2026-09-23,https://github.com/punkpeye/awesome-mcp-servers
contribute,decolua/9router,29714,2219,MIT,active,2026-09-23,https://github.com/decolua/9router
contribute,kirodotdev/KiroCrew,4122,2058,Apache-2.0,active,2026-09-24,https://github.com/kirodotdev/KiroCrew
contribute,esengine/DeepSeek-Reasonix,35699,1908,MIT,active,2026-09-24,https://github.com/esengine/DeepSeek-Reasonix
contribute,t8y2/dbx,20599,1645,Apache-2.0,active,2026-09-24,https://github.com/t8y2/dbx
contribute,agno-agi/agno,42328,1613,Apache-2.0,active,2026-09-24,https://github.com/agno-agi/agno
contribute,rtk-ai/rtk,81613,1574,Apache-2.0,active,2026-09-24,https://github.com/rtk-ai/rtk
contribute,makecindy/cindy,2812,1538,Apache-2.0,active,2026-09-24,https://github.com/makecindy/cindy
contribute,infiniflow/ragflow,91247,1496,Apache-2.0,active,2026-09-24,https://github.com/infiniflow/ragflow
contribute,QwenLM/qwen-code,28108,1474,Apache-2.0,active,2026-09-24,https://github.com/QwenLM/qwen-code
contribute,Graphify-Labs/graphify,121031,1454,Apache-2.0,active,2026-09-23,https://github.com/Graphify-Labs/graphify
contribute,omnigent-ai/omnigent,10200,1452,Apache-2.0,active,2026-09-24,https://github.com/omnigent-ai/omnigent
contribute,aden-hive/hive,11071,1355,Apache-2.0,active,2026-09-14,https://github.com/aden-hive/hive
contribute,gastownhall/beads,27394,1291,MIT,active,2026-09-24,https://github.com/gastownhall/beads
