date,repositories,active,slowing,stale,abandoned,archived,no_licence,no_licence_pct,nonstandard_licence,abandoned_of_eligible_pct,arrived,left,total_stars
2026-09-04,36593,17376,7064,9360,2223,570,6117,16.7,2846,29.1,20487,0,18158623
2026-09-05,36713,17379,7118,9410,2232,574,6137,16.7,2859,29.1,158,38,18229623
2026-09-06,36908,17467,7187,9441,2240,573,6176,16.7,2871,29.1,221,26,18289563
2026-09-07,37280,17763,7168,9528,2247,574,6389,17.1,2877,29.1,407,35,18364352
2026-09-08,37378,17809,7158,9582,2253,576,6395,17.1,2885,29.0,123,25,18413648
2026-09-09,37568,17938,7141,9648,2264,577,6412,17.1,2903,29.0,223,33,18480345
2026-09-10,37750,18020,7168,9708,2272,582,6423,17.0,2923,29.1,219,37,18534756
2026-09-11,37950,18134,7163,9783,2285,585,6454,17.0,2934,29.1,242,42,18630964
2026-09-12,38067,18123,7239,9828,2288,589,6466,17.0,2940,29.0,155,38,18674645
2026-09-13,38259,18173,7328,9863,2297,598,6502,17.0,2955,29.0,230,38,18792783
2026-09-14,38414,18181,7410,9918,2307,598,6538,17.0,2971,29.1,175,20,18835804
2026-09-15,38664,18365,7408,9974,2315,602,6582,17.0,2989,29.1,289,39,18916898
2026-09-16,38783,18389,7417,10039,2328,610,6585,17.0,2997,29.1,200,81,19024714
2026-09-17,38953,18460,7452,10091,2335,615,6594,16.9,3017,29.1,212,42,19024851
2026-09-18,39135,18482,7541,10141,2350,621,6609,16.9,3033,29.2,221,39,19158421
2026-09-19,39257,18537,7542,10199,2355,624,6623,16.9,3041,29.2,162,40,19199489
2026-09-20,39418,18564,7606,10258,2362,628,6637,16.8,3053,29.2,191,30,19264153
2026-09-21,39627,18641,7645,10341,2370,630,6643,16.8,3081,29.2,251,42,19342444
